# Program:featureCounts v2.0.3; Command:"/home/nilmbb/dmalcov/vigna/subread-2.0.3-source/bin/featureCounts" "-p" "--countReadPairs" "-t" "exon" "-g" "gene_id" "-a" "v6.gtf" "-o" "VR4R1counts.txt" "alignments/VR4R1/VR4R1Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	alignments/VR4R1/VR4R1Aligned.sortedByCoord.out.bam
gene:Vradi04g10550	CM003507.1;CM003507.1;CM003507.1	19573361;19574068;19574805	19573493;19574241;19575088	+;+;+	591	1
gene:Vradi04g10560	CM003507.1;CM003507.1;CM003507.1	19578368;19579641;19579896	19579141;19579802;19580306	+;+;+	1347	269
gene:Vradi04g10570	CM003507.1;CM003507.1	19582150;19584463	19584081;19584798	-;-	2268	549
gene:Vradi04g10580	CM003507.1	19594736	19595221	-	486	252
gene:Vradi04g10590	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	19601673;19602048;19605494;19606972;19607491	19601940;19602175;19606903;19607338;19607979	+;+;+;+;+	2662	1113
gene:Vradi04g10600	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	19608534;19609496;19609768;19610565;19611784;19612758;19613172;19613486;19615225	19609184;19609619;19609983;19610693;19612030;19613090;19613398;19615110;19615500	-;-;-;-;-;-;-;-;-	3828	4509
gene:Vradi04g10610	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	19616772;19617316;19617493;19618149;19618532	19617110;19617408;19617555;19618214;19618811	-;-;-;-;-	841	1197
gene:Vradi04g10620	CM003507.1;CM003507.1;CM003507.1	19633479;19635228;19636244	19633914;19635758;19636705	-;-;-	1429	1384
gene:Vradi04g10630	CM003507.1;CM003507.1	19638755;19640511	19639817;19640644	+;+	1197	6
gene:Vradi04g10640	CM003507.1	19640976	19641830	-	855	40
gene:ENSRNA050006190	CM003507.1	19642482	19642553	+	72	0
gene:Vradi04g10650	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	19643182;19646351;19646559;19647451;19648923;19650256;19651631;19652271;19653593;19656595	19645685;19646476;19646642;19647776;19649441;19651155;19651765;19653167;19653686;19656669	-;-;-;-;-;-;-;-;-;-	5660	570
gene:Vradi04g10660	CM003507.1;CM003507.1;CM003507.1;CM003507.1	19659770;19660004;19660707;19661230	19659895;19660129;19660954;19661506	+;+;+;+	777	14
gene:Vradi04g10670	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	19663190;19663485;19665661;19667203;19669129;19670907;19672457;19673449;19673823;19674194;19675055;19676639;19677267;19677715;19679586;19680244;19681452	19663316;19664035;19666163;19667826;19669404;19671095;19672567;19673523;19674104;19674245;19675234;19676704;19677575;19678242;19679636;19680323;19681904	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4457	500
gene:Vradi04g10680	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	19683807;19685403;19686258;19687090;19687352;19687505;19688112;19688612;19688852;19689677	19684330;19685582;19686406;19687237;19687420;19687753;19688306;19688674;19688965;19691736	-;-;-;-;-;-;-;-;-;-	3751	743
gene:Vradi04g10690	CM003507.1;CM003507.1;CM003507.1;CM003507.1	19693557;19694321;19695386;19698052	19694038;19694716;19695510;19698074	-;-;-;-	1026	62
gene:Vradi04g10700	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	19702381;19704076;19704672;19706113;19706344;19706988	19703972;19704360;19705020;19706177;19706471;19707273	-;-;-;-;-;-	2705	2923
gene:Vradi04g10710	CM003507.1;CM003507.1	19702585;19706874	19703293;19707263	+;+	1099	7
gene:Vradi04g10720	CM003507.1	19720210	19721064	+	855	346
gene:Vradi04g10730	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	19723292;19724834;19725013;19725309;19726770;19726963;19727141;19727398;19727646;19727790;19727977	19723700;19724921;19725080;19725433;19726815;19727039;19727196;19727411;19727704;19727865;19728523	-;-;-;-;-;-;-;-;-;-;-	1565	291
gene:Vradi04g10740	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	19729480;19729736;19730021;19730278;19730561;19731569;19732531;19732706;19733484	19729646;19729797;19730111;19730364;19730614;19731750;19732613;19732806;19733982	+;+;+;+;+;+;+;+;+	1326	118
gene:Vradi04g10750	CM003507.1;CM003507.1	19743783;19754423	19744652;19754557	-;-	1005	372
gene:Vradi04g10760	CM003507.1;CM003507.1;CM003507.1	19756190;19756942;19757511	19756552;19757343;19757675	+;+;+	930	80
gene:Vradi04g10770	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	19764777;19766453;19766639;19766874;19767635;19768224;19768677;19768923;19769724	19764867;19766556;19766776;19766969;19767759;19768356;19768802;19769034;19771152	+;+;+;+;+;+;+;+;+	2354	521
gene:Vradi04g10780	CM003507.1	19770680	19771093	-	414	0
gene:Vradi04g10790	CM003507.1	19775680	19776447	-	768	1
gene:Vradi04g10800	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	19828435;19833329;19833705;19834178;19834541	19829248;19833657;19833842;19834406;19834669	-;-;-;-;-	1639	11
gene:Vradi04g10810	CM003507.1;CM003507.1;CM003507.1;CM003507.1	19863065;19863859;19864113;19864850	19863767;19864020;19864235;19865199	-;-;-;-	1338	14
gene:Vradi04g10820	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	19865847;19865847;19866966;19866966;19867280;19867280;19867451;19867451;19867690;19867690;19867908;19867908;19868377;19868377;19869321;19869321;19869883;19869883;19870034;19870034;19870260;19870570	19866514;19866514;19867030;19867030;19867363;19867363;19867582;19867582;19867779;19867779;19868042;19868042;19868422;19868422;19869427;19869427;19869931;19869931;19870173;19870173;19870451;19870670	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1809	594
gene:Vradi04g10830	CM003507.1	19873501	19873812	-	312	196
gene:Vradi04g10840	CM003507.1;CM003507.1;CM003507.1	19883238;19883974;19884671	19883273;19884471;19885224	-;-;-	1088	6883
gene:Vradi04g10850	CM003507.1;CM003507.1	19887734;19889459	19887938;19889847	+;+	594	0
gene:Vradi04g10860	CM003507.1;CM003507.1;CM003507.1	19909826;19911069;19912767	19910766;19911285;19913416	-;-;-	1808	865
gene:Vradi04g10870	CM003507.1;CM003507.1;CM003507.1	19924436;19924993;19925189	19924728;19925068;19925257	-;-;-	438	125
gene:Vradi04g10880	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	19928434;19928776;19929848;19930506;19931961;19932245;19932758;19933044;19933408;19933946;19934848;19936328;19936540	19928542;19928847;19930067;19930696;19932167;19932362;19932834;19933223;19933452;19934050;19934914;19936441;19936921	+;+;+;+;+;+;+;+;+;+;+;+;+	1887	1630
gene:Vradi04g10890	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	19937577;19938151;19939098;19939761;19940151	19938075;19938246;19939273;19939875;19940183	-;-;-;-;-	919	1564
gene:Vradi04g10900	CM003507.1;CM003507.1;CM003507.1	19940298;19941635;19943161	19940424;19941750;19943352	+;+;+	435	747
gene:Vradi04g10910	CM003507.1;CM003507.1	19944423;19944990	19944454;19945368	+;+	411	0
gene:Vradi04g10920	CM003507.1	19950353	19950778	+	426	0
gene:Vradi04g10930	CM003507.1;CM003507.1;CM003507.1	19955051;19955828;19955998	19955131;19955914;19956210	+;+;+	381	17
gene:Vradi04g10940	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	19978249;19978664;19979186;19980066;19980194;19980745;19980894;19981522;19981864	19978350;19978739;19979241;19980110;19980274;19980795;19980979;19981723;19982042	-;-;-;-;-;-;-;-;-	878	421
gene:Vradi04g10950	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	19982672;19983439;19983670;19985102;19985841	19983211;19983490;19983773;19985198;19986707	-;-;-;-;-	1660	660
gene:Vradi04g10960	CM003507.1;CM003507.1;CM003507.1	19988656;19989942;19990316	19988895;19990076;19990944	+;+;+	1004	149
gene:Vradi04g10970	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	19991724;19992891;19993625;19994341;19994506;19994747;19995396;19995960;19996166;19996984;19997202;19997745;19998533;20000342;20000635;20000830;20001813;20002021;20002274;20004469	19992237;19992990;19993696;19994429;19994667;19994808;19995438;19996067;19996325;19997049;19997299;19997792;19998661;20000444;20000731;20000932;20001894;20002138;20004434;20004752	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4599	290
gene:Vradi04g10980	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	20005562;20005708;20005882;20009212;20010129;20010418;20010727	20005633;20005767;20005995;20009444;20010179;20010605;20010819	-;-;-;-;-;-;-	811	131
gene:Vradi04g10990	CM003507.1;CM003507.1	20029428;20035470	20029664;20035523	+;+	291	2
gene:Vradi04g11000	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	20045267;20045553;20045803;20046551;20046970;20047190;20047460;20047689;20048446;20048654	20045433;20045654;20045917;20046766;20047040;20047247;20047582;20047811;20048550;20048719	-;-;-;-;-;-;-;-;-;-	1146	10
gene:Vradi04g11010	CM003507.1	20052525	20052812	-	288	15
gene:Vradi04g11020	CM003507.1	20055701	20056108	+	408	9
gene:Vradi04g11030	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	20056977;20057563;20057726;20058096;20058264;20058464;20058635;20059478;20060703	20057414;20057622;20057914;20058186;20058373;20058551;20058859;20059570;20061054	-;-;-;-;-;-;-;-;-	1646	576
gene:Vradi04g11040	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	20062857;20064487;20064740;20064912;20065010	20063289;20064631;20064811;20064949;20065258	-;-;-;-;-	937	229
gene:Vradi04g11050	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	20065089;20066251;20067073;20067866;20070177;20070435;20071116;20072395;20072569;20072990;20073221;20073424;20073708;20073890;20074124;20074403;20074666	20065147;20066372;20067222;20068050;20070347;20071001;20071152;20072465;20072783;20073107;20073353;20073625;20073813;20074030;20074261;20074505;20075354	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3207	1099
gene:Vradi04g11060	CM003507.1	20079053	20079340	+	288	7009
gene:Vradi04g11070	CM003507.1	20087916	20088761	+	846	3
gene:Vradi04g11080	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	20105496;20107823;20109905;20111453;20111578;20112052	20106687;20108332;20110633;20111482;20111892;20113250	+;+;+;+;+;+	3975	178
gene:Vradi04g11090	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	20128530;20128674;20128893;20129865;20130102;20130933;20132021;20133057	20128560;20128771;20129185;20130021;20130452;20131063;20132516;20133873	-;-;-;-;-;-;-;-	2374	348
gene:Vradi04g11100	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	20141294;20141574;20141777;20142309;20143797;20143950;20144651;20145724;20145961;20146278;20147287;20148507	20141430;20141691;20141887;20142391;20143856;20144010;20144703;20145824;20146046;20146359;20147348;20148921	+;+;+;+;+;+;+;+;+;+;+;+	1369	321
gene:Vradi04g11110	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	20152232;20152639;20152782;20153149;20153401;20153609	20152360;20152675;20152992;20153310;20153520;20154051	+;+;+;+;+;+	1102	49
gene:Vradi04g11120	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	20156915;20157801;20158030;20158228;20158389;20159014;20159577;20160075;20160272;20160454;20160876;20161302;20161838	20157285;20157915;20158118;20158301;20158535;20159167;20159670;20160187;20160371;20160586;20160943;20161416;20162391	-;-;-;-;-;-;-;-;-;-;-;-;-	2127	704
gene:Vradi04g11130	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	20168559;20171483;20172129;20172425;20172616;20173040;20173631;20173770;20174174;20174410	20168970;20171507;20172345;20172509;20172683;20173113;20173689;20173846;20174274;20174500	+;+;+;+;+;+;+;+;+;+	1209	679
gene:Vradi04g11140	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	20177261;20178351;20179277;20180766;20181165;20181370	20178241;20178462;20180594;20181055;20181220;20182254	-;-;-;-;-;-	3642	665
gene:Vradi04g11150	CM003507.1	20191888	20192670	-	783	37
gene:Vradi04g11160	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	20199428;20200507;20203118;20203796;20204035;20204322;20204570;20204779;20204927	20199873;20200717;20203215;20203936;20204127;20204498;20204675;20204850;20204971	-;-;-;-;-;-;-;-;-	1389	418
gene:Vradi04g11170	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	20205769;20206010;20206371;20206881;20207617;20207766;20207942;20208591;20208830	20205879;20206288;20206468;20206932;20207687;20207856;20208017;20208669;20209496	+;+;+;+;+;+;+;+;+	1524	202
gene:Vradi04g11180	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	20212295;20213423;20214009;20214377;20214665;20214895;20215022;20215453;20215981	20212526;20213518;20214093;20214498;20214821;20214924;20215127;20215517;20216201	+;+;+;+;+;+;+;+;+	1114	243
gene:Vradi04g11190	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	20244297;20244297;20245140;20245140;20246993;20246993;20247560;20247569;20248293;20248293;20248293	20245036;20245036;20245307;20245307;20247205;20247835;20247895;20247835;20248890;20248890;20248843	+;+;+;+;+;+;+;+;+;+;+	2409	1392
gene:Vradi04g11200	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	20248963;20249541;20250705;20250879;20251030;20251725;20252230;20252412	20249369;20249679;20250802;20250927;20251093;20251854;20252274;20252893	-;-;-;-;-;-;-;-	1414	294
gene:Vradi04g11210	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	20256391;20256803;20256974;20257346;20258602;20259448	20256726;20256891;20257102;20257446;20258836;20259662	-;-;-;-;-;-	1105	209
gene:Vradi04g11220	CM003507.1;CM003507.1;CM003507.1	20269218;20269535;20270200	20269440;20269620;20270426	+;+;+	536	144
gene:Vradi04g11230	CM003507.1;CM003507.1;CM003507.1;CM003507.1	20289575;20289899;20290249;20290876	20289587;20290125;20290490;20292258	+;+;+;+	1865	113
gene:Vradi04g11240	CM003507.1;CM003507.1	20310793;20312344	20311715;20312356	-;-	936	5079
gene:Vradi04g11250	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	20323636;20323842;20326511;20327482;20328003	20323736;20323961;20326726;20327615;20328055	+;+;+;+;+	624	532
gene:Vradi04g11260	CM003507.1	20335802	20336698	+	897	0
gene:Vradi04g11270	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	20344499;20344920;20345167;20345417;20345622	20344618;20345023;20345338;20345539;20346260	+;+;+;+;+	1158	3
gene:Vradi04g11280	CM003507.1;CM003507.1	20353475;20354512	20353645;20354871	-;-	531	780
gene:Vradi04g11290	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	20356377;20357091;20358269;20359153;20359677;20359976;20360681;20361273;20363163;20363518;20363913;20364095	20357003;20357307;20358388;20359275;20359787;20360050;20360778;20361457;20363254;20363622;20363990;20364405	-;-;-;-;-;-;-;-;-;-;-;-	2142	157
gene:Vradi04g11300	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	20365152;20366743;20366953;20367240;20367460;20368067;20368392;20368601;20368874;20369536;20370122;20370398;20370751;20371052;20372844;20373016;20373415;20374199;20374499;20375854;20376008;20376158;20376393;20376992;20377926;20381437;20381653;20382023;20382167;20382376;20383363;20384070;20386251;20386520;20387592;20388076;20391260;20391777;20392878;20393061;20393268;20394180;20394842;20396014;20396175;20396335;20397790;20398150;20399399;20400159	20366547;20366868;20367117;20367371;20367572;20368211;20368491;20368698;20368939;20369991;20370325;20370541;20370837;20371108;20372912;20373160;20373620;20374325;20374630;20375921;20376064;20376257;20376442;20377141;20378082;20381525;20381787;20382091;20382289;20382444;20383421;20384170;20386418;20386630;20387698;20388208;20391336;20391857;20392946;20393141;20393357;20394284;20394906;20396101;20396264;20396607;20397853;20398197;20399610;20400422	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	7321	953
gene:Vradi04g11310	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	20412765;20413162;20414047;20414339;20414548;20415518;20416384;20416720;20417472;20417819;20418169;20418334;20419280	20412959;20413297;20414198;20414386;20414640;20415624;20416498;20416806;20417676;20417913;20418237;20418441;20419381	+;+;+;+;+;+;+;+;+;+;+;+;+	1512	1731
gene:Vradi04g11320	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	20420943;20421530;20423578;20423905;20424168	20421457;20421710;20423744;20423987;20424784	+;+;+;+;+	1563	955
gene:Vradi04g11330	CM003507.1;CM003507.1;CM003507.1;CM003507.1	20428634;20429255;20429926;20430591	20429170;20429377;20430042;20430932	+;+;+;+	1119	11529
gene:Vradi04g11340	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	20431933;20433293;20433574;20434214;20434945;20435123;20436055	20432934;20433487;20433798;20434273;20435025;20435528;20436614	+;+;+;+;+;+;+	2529	2805
gene:Vradi04g11350	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	20437669;20437669;20438122;20438122;20438353;20438353;20438525;20438536;20438700;20438700;20438935;20438935;20439134;20439134;20439341;20439341;20439799;20439799;20440099;20440099;20440343;20440343;20440606;20440606;20443080;20443080	20438040;20438040;20438265;20438265;20438427;20438444;20438614;20438614;20438766;20438766;20438963;20438963;20439250;20439250;20439455;20439455;20439905;20439905;20440175;20440175;20440424;20440424;20440743;20440743;20443235;20443235	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1586	3011
gene:Vradi04g11360	CM003507.1;CM003507.1;CM003507.1	20452363;20453952;20454535	20452872;20454022;20455452	+;+;+	1499	815
gene:Vradi04g11370	CM003507.1;CM003507.1;CM003507.1;CM003507.1	20458520;20460339;20461032;20461451	20458654;20460910;20461251;20462800	+;+;+;+	2277	733
gene:Vradi04g11380	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	20511664;20512875;20513203;20513856;20514436;20514718;20515067	20511907;20513046;20513252;20514156;20514624;20514900;20515895	+;+;+;+;+;+;+	1968	5898
gene:Vradi04g11390	CM003507.1;CM003507.1	20518622;20518830	20518746;20521587	-;-	2883	0
gene:Vradi04g11400	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	20518622;20518832;20519522;20519930;20520609	20518748;20519397;20519739;20520510;20522006	+;+;+;+;+	2890	12
gene:Vradi04g11410	CM003507.1;CM003507.1	20552408;20552762	20552425;20554129	-;-	1386	0
gene:Vradi04g11420	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	20589963;20590187;20590799;20591063;20591223;20591561;20591769;20592270;20593315;20593439;20593605;20594783;20595267;20596472;20596868	20590096;20590381;20590850;20591142;20591301;20591644;20591914;20592611;20593356;20593534;20593798;20594931;20596350;20596606;20597001	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2946	5116
gene:Vradi04g11430	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	20597857;20599765;20600028;20600772;20601489;20601964;20602164;20602598;20604988;20605103;20605791;20606976;20607288;20607447;20608104;20608623;20608808;20609042;20609442;20609609;20609857;20610143	20598270;20599909;20600064;20601013;20601639;20602086;20602445;20602856;20605037;20605225;20606072;20607126;20607349;20607533;20608155;20608705;20608884;20609236;20609499;20609769;20610018;20610447	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3501	5377
gene:Vradi04g11440	CM003507.1;CM003507.1;CM003507.1;CM003507.1	20613139;20615003;20615429;20616149	20613676;20615159;20615521;20616356	+;+;+;+	996	77
gene:Vradi04g11450	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	20617677;20618089;20618702;20618926;20622685	20617994;20618217;20618739;20619046;20623017	-;-;-;-;-	939	216
gene:Vradi04g11460	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	20622879;20623282;20623656;20623946;20624385;20627084;20628506;20629978;20630356;20630732;20632156;20633266	20623026;20623448;20623874;20624284;20624510;20627334;20628629;20630260;20630510;20630778;20632420;20633948	+;+;+;+;+;+;+;+;+;+;+;+	2807	399
gene:Vradi04g11470	CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1;CM003507.1	20635447;20635986;20636797;20637057;20637903;20638194;20640150;20641591;20641827;20641984;20642213;20643768;20643900;20644098;20644256;20644484	20635896;20636174;20636954;20637072;20638077;20638252;20640368;20641720;20641893;20642078;20642284;20643823;20644014;20644171;20644384;20645039	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2560	4259
gene:Vradi04g11480	CM003507.1;CM003507.1;CM003507.1	20649451;20652518;20652646	20649531;20652574;20652738	-;-;-	231	588
